ncessch,school_name,latitude,longitude,enrollment,teachers_fte,school_level,school_type,student_teacher_ratio,norm_enrollment,norm_student_teacher_ratio
60002811043,Tony Tobin Elementary,33.4695,-117.0682,734.0,30.0,1,1,24.466666666666665,0.04898095556298029,0.06081771720613288
60002811170,French Valley Elementary,33.5888,-117.0958,870.0,35.0,1,1,24.857142857142858,0.058068827263615105,0.06181552689218789
60002811187,Erle Stanley Gardner Middle,33.4695,-117.1096,1042.0,43.0,2,1,24.232558139534884,0.06956231206147678,0.06021948417257637
60002811838,Temecula Luiseno Elementary,33.464,-117.1077,757.0,30.0,1,1,25.233333333333334,0.05051787504176412,0.06277683134582625
60002814529,Home INstead INnovation Academy,33.606647,-117.084609,620.0,23.0,1,4,26.956521739130434,0.04136318075509522,0.06718020887341679
60002903649,Thompson Middle,33.562608,-117.233824,1533.0,60.0,2,1,25.55,0.10237220180420982,0.06358603066439523
60002906282,Tovashal Elementary,33.593448,-117.201574,713.0,30.0,1,1,23.766666666666666,0.04757768125626462,0.05902896081771721
60002908565,Cole Canyon Elementary,33.574915,-117.247079,1033.0,39.0,1,1,26.487179487179485,0.06896090878717007,0.06598086751408727
60002909507,Murrieta Elementary,33.5569,-117.213,912.0,33.0,1,1,27.636363636363637,0.060875375877046445,0.06891745392597182
60002909508,Avaxat Elementary,33.5852,-117.1893,705.0,34.0,1,1,20.735294117647058,0.047043100567991984,0.05128269365667903
60002909509,Alta Murrieta Elementary,33.5668,-117.1689,814.0,35.0,1,1,23.257142857142856,0.05432676244570665,0.05772694086152349
60002909510,E. Hale Curran Elementary,33.5799,-117.2149,615.0,25.0,1,1,24.6,0.041029067824924825,0.06115843270868826
60002909511,Rail Ranch Elementary,33.5791,-117.1733,637.0,25.0,1,1,25.48,0.04249916471767458,0.06340715502555366
60002909685,Murrieta Valley High,33.563124,-117.230606,2295.0,97.0,3,1,23.65979381443299,0.15329101236217843,0.058755861536029796
60002909686,Shivela Middle,33.5723,-117.1983,1309.0,55.0,2,1,23.8,0.08740394253257601,0.059114139693356056
60002910354,Daniel N. Buchanan Elementary,33.5476,-117.1599,817.0,31.0,1,1,26.35483870967742,0.05452723020380889,0.0656426883552234
60002910590,Warm Springs Middle,33.551,-117.1486,847.0,39.0,2,1,21.71794871794872,0.056531907784831276,0.05379373607652995
60002911044,Antelope Hills Elementary,33.5959,-117.1807,741.0,32.0,1,1,23.15625,0.049448713665218844,0.057469122657580925
60002911239,Monte Vista Elementary,33.5778,-117.1452,776.0,30.0,1,1,25.866666666666667,0.051787504176411626,0.06439522998296424
60002911241,Murrieta Canyon Academy,33.560354,-117.23218,632.0,32.0,4,4,19.75,0.04216505178750418,0.0487649063032368
60002911249,Vista Murrieta High,33.5968,-117.1658,3665.0,138.0,3,1,26.557971014492754,0.24483795522886737,0.0661617657951263
60002911921,Lisa J. Mails Elementary,33.6098,-117.1307,939.0,36.0,1,1,26.083333333333332,0.0626795856999666,0.0649488926746167
60002912243,Dorothy McElhinney Middle,33.611251,-117.133579,1316.0,56.0,2,1,23.5,0.08787170063481457,0.05834752981260648
60002912289,Murrieta Mesa High,33.563933,-117.199129,2291.0,97.0,3,1,23.61855670103093,0.1530237220180421,0.05865048560740442
60003109475,Pacific Valley (K-12),35.919829,-121.466084,17.0,3.0,4,1,5.666666666666667,0.0010691613765452723,0.012776831345826238
60003202227,Patricia Dreizler Continuation High,33.84775,-118.380438,44.0,5.0,3,4,8.8,0.002873371199465419,0.020783645655877345
60003204949,Adams Middle,33.866015,-118.363886,1060.0,42.0,2,1,25.238095238095237,0.07076511861009022,0.06278899975663178
60003204950,Alta Vista Elementary,33.828888,-118.378426,562.0,22.0,1,1,25.545454545454547,0.03748747076511861,0.06357441536317177
